agey,serogroup,country,survyr,ipd
62,PPV23,South Africa,2015,7
63,PPV23,South Africa,2015,12
64,PPV23,South Africa,2015,3
65,PPV23,South Africa,2015,8
66,PPV23,South Africa,2015,8
67,PPV23,South Africa,2015,3
68,PPV23,South Africa,2015,5
69,PPV23,South Africa,2015,4
70,PPV23,South Africa,2015,6
71,PPV23,South Africa,2015,4
72,PPV23,South Africa,2015,1
73,PPV23,South Africa,2015,2
74,PPV23,South Africa,2015,3
75,PPV23,South Africa,2015,4
76,PPV23,South Africa,2015,7
77,PPV23,South Africa,2015,3
78,PPV23,South Africa,2015,3
79,PPV23,South Africa,2015,1
80,PPV23,South Africa,2015,3
81,PPV23,South Africa,2015,2
82,PPV23,South Africa,2015,3
83,PPV23,South Africa,2015,4
84,PPV23,South Africa,2015,1
85,PPV23,South Africa,2015,2
86,PPV23,South Africa,2015,2
87,PPV23,South Africa,2015,0
88,PPV23,South Africa,2015,1
89,PPV23,South Africa,2015,2
90,PPV23,South Africa,2015,7
55,PCV13,South Africa,2016,5
56,PCV13,South Africa,2016,8
57,PCV13,South Africa,2016,6
58,PCV13,South Africa,2016,5
59,PCV13,South Africa,2016,3
60,PCV13,South Africa,2016,2
61,PCV13,South Africa,2016,1
62,PCV13,South Africa,2016,3
63,PCV13,South Africa,2016,2
64,PCV13,South Africa,2016,4
65,PCV13,South Africa,2016,3
66,PCV13,South Africa,2016,6
67,PCV13,South Africa,2016,1
68,PCV13,South Africa,2016,3
69,PCV13,South Africa,2016,3
70,PCV13,South Africa,2016,1
71,PCV13,South Africa,2016,3
72,PCV13,South Africa,2016,2
73,PCV13,South Africa,2016,2
74,PCV13,South Africa,2016,2
75,PCV13,South Africa,2016,5
76,PCV13,South Africa,2016,1
77,PCV13,South Africa,2016,2
78,PCV13,South Africa,2016,1
79,PCV13,South Africa,2016,0
80,PCV13,South Africa,2016,4
81,PCV13,South Africa,2016,2
82,PCV13,South Africa,2016,0
83,PCV13,South Africa,2016,2
84,PCV13,South Africa,2016,2
85,PCV13,South Africa,2016,1
86,PCV13,South Africa,2016,0
87,PCV13,South Africa,2016,1
88,PCV13,South Africa,2016,1
89,PCV13,South Africa,2016,0
90,PCV13,South Africa,2016,1
55,PCV15,South Africa,2016,6
56,PCV15,South Africa,2016,9
57,PCV15,South Africa,2016,8
58,PCV15,South Africa,2016,5
59,PCV15,South Africa,2016,3
60,PCV15,South Africa,2016,2
61,PCV15,South Africa,2016,1
62,PCV15,South Africa,2016,3
63,PCV15,South Africa,2016,1
64,PCV15,South Africa,2016,4
65,PCV15,South Africa,2016,3
66,PCV15,South Africa,2016,6
67,PCV15,South Africa,2016,1
68,PCV15,South Africa,2016,3
69,PCV15,South Africa,2016,3
70,PCV15,South Africa,2016,1
71,PCV15,South Africa,2016,3
72,PCV15,South Africa,2016,2
73,PCV15,South Africa,2016,3
74,PCV15,South Africa,2016,2
75,PCV15,South Africa,2016,6
76,PCV15,South Africa,2016,2
77,PCV15,South Africa,2016,2
78,PCV15,South Africa,2016,2
79,PCV15,South Africa,2016,0
80,PCV15,South Africa,2016,4
81,PCV15,South Africa,2016,3
82,PCV15,South Africa,2016,0
83,PCV15,South Africa,2016,2
84,PCV15,South Africa,2016,2
85,PCV15,South Africa,2016,1
86,PCV15,South Africa,2016,0
87,PCV15,South Africa,2016,3
88,PCV15,South Africa,2016,1
89,PCV15,South Africa,2016,0
90,PCV15,South Africa,2016,1
55,PCV20,South Africa,2016,10
56,PCV20,South Africa,2016,12
57,PCV20,South Africa,2016,10
58,PCV20,South Africa,2016,8
59,PCV20,South Africa,2016,10
60,PCV20,South Africa,2016,6
61,PCV20,South Africa,2016,5
62,PCV20,South Africa,2016,10
63,PCV20,South Africa,2016,7
64,PCV20,South Africa,2016,4
65,PCV20,South Africa,2016,6
66,PCV20,South Africa,2016,8
67,PCV20,South Africa,2016,4
68,PCV20,South Africa,2016,3
69,PCV20,South Africa,2016,6
70,PCV20,South Africa,2016,3
71,PCV20,South Africa,2016,3
72,PCV20,South Africa,2016,5
73,PCV20,South Africa,2016,6
74,PCV20,South Africa,2016,5
75,PCV20,South Africa,2016,6
76,PCV20,South Africa,2016,2
